"","HOUSING_COUNTY","January","February","March","April","May","June","July","August","September","October","November","December"
"89","HOWARD",0,0,0,0,0,0,0,0,0,0,4,4
"90","HUDSPETH",0,4,14,14,14,14,14,14,14,14,14,1
"91","HUNT",10,20,20,34,34,34,34,34,34,34,34,0
"92","HUTCHINSON",0,5,8,8,8,8,8,8,8,8,8,6
"93","IRION",4,2,2,5,5,5,7,7,7,5,7,7
"94","JACKSON",6,28,36,38,38,44,46,46,46,46,42,15
"95","JASPER",29,37,37,37,37,37,37,37,37,37,27,0
"96","JEFFERSON",10,10,13,13,13,13,13,13,13,3,3,3
"97","JIM WELLS",1,1,0,0,0,2,2,2,2,2,2,2
"98","JOHNSON",11,17,22,25,25,25,25,25,25,18,25,15
"99","JONES",2,0,0,0,0,0,0,0,0,0,0,0
"100","KARNES",0,0,18,18,18,18,18,18,18,18,18,0
"101","KENDALL",4,4,4,4,4,4,0,0,4,4,14,14
"102","KENEDY",0,0,0,0,0,3,3,3,7,7,7,4
"103","KENT",2,2,2,2,2,2,2,2,2,0,3,3
"104","KERR",6,41,41,41,37,37,35,37,38,36,36,21
"105","KIMBLE",0,0,6,6,6,6,6,6,6,6,6,6
"106","KING",0,0,5,5,5,5,5,5,5,5,5,5
"107","KINNEY",8,8,8,10,10,10,6,5,8,8,8,8
"108","KLEBERG",3,3,3,3,3,3,3,3,63,63,64,10
"109","KNOX",2,2,0,0,2,2,2,2,2,2,2,2
"110","LA SALLE",32,33,34,35,27,20,28,18,31,30,31,31
"111","LAMAR",22,22,28,28,23,23,25,31,31,20,17,40
"112","LAMB",13,46,47,46,47,35,47,47,47,47,47,47
"113","LAVACA",0,0,4,4,4,4,4,4,4,4,4,4
"114","LEE",55,160,162,162,160,235,115,200,247,247,272,272
"115","LIBERTY",72,75,75,75,75,75,67,67,67,67,60,7
"116","LIMESTONE",10,10,10,10,10,10,10,10,0,5,17,17
"117","LIVE OAK",1,1,2,2,2,2,1,1,1,1,1,1
"118","LLANO",11,15,19,19,19,14,19,19,19,19,17,17
"119","LUBBOCK",15,15,21,21,6,6,6,6,21,54,54,49
"120","LYNN",0,0,1,1,1,1,1,1,1,1,1,1
"121","MASON",0,4,4,4,4,4,4,4,4,4,4,0
"122","MATAGORDA",36,223,240,249,247,245,249,249,245,245,157,31
"123","MAVERICK",23,27,28,28,28,28,24,24,24,33,35,25
"124","MCCULLOCH",0,3,6,6,6,6,6,6,6,6,6,3
"125","MCLENNAN",2,7,8,7,7,10,10,10,10,10,12,6
"126","MCMULLEN",6,8,10,10,7,4,4,10,10,10,10,9
"127","MEDINA",0,14,16,16,16,16,16,16,16,16,17,1
"128","MENARD",0,0,8,8,8,8,8,8,8,8,8,8
"129","MIDLAND",22,24,28,28,28,28,6,6,6,6,28,28
"130","MILLS",6,6,6,6,6,6,6,6,0,0,3,3
"131","MITCHELL",0,0,4,4,4,4,4,4,4,18,18,18
"132","MONTAGUE",0,0,0,8,0,0,0,0,0,3,3,3
"133","MONTGOMERY",5,11,11,11,11,11,11,11,11,11,6,0
"134","MOORE",44,68,82,94,105,200,270,260,269,272,105,76
"135","NACOGDOCHES",0,0,2,2,2,2,2,2,2,0,6,6
"136","NAVARRO",0,20,20,20,20,20,20,20,20,20,20,20
"137","NEWTON",15,15,15,15,15,3,3,3,3,3,3,0
"138","NOLAN",15,15,17,17,17,20,5,5,5,6,21,23
"139","NUECES",13,15,15,15,15,21,21,21,21,18,2,6
"140","OCHILTREE",0,0,2,8,8,8,8,8,8,15,15,10
"141","OLDHAM",18,20,25,25,26,23,23,19,19,26,30,25
"142","ORANGE",55,65,65,69,69,69,69,69,69,69,69,14
"143","PANOLA",7,10,16,14,14,9,9,9,9,9,7,7
"144","PARKER",0,1,1,1,1,1,1,1,1,1,1,1
"145","PARMER",22,11,17,31,34,34,47,47,46,40,30,26
"146","PECOS",79,99,132,269,271,281,284,271,275,293,259,131
"147","POLK",17,17,22,22,22,16,16,16,12,12,17,5
"148","POTTER",0,0,0,3,3,3,3,3,3,3,3,3
"149","PRESIDIO",4,2,139,139,139,139,138,138,138,138,138,273
"150","RAINS",18,18,15,15,15,15,0,0,20,20,20,20
"151","RANDALL",25,34,34,35,34,34,34,34,34,34,21,21
"152","REAGAN",6,6,6,4,6,8,9,9,8,8,8,6
"153","RED RIVER",11,10,10,10,10,6,5,6,16,16,16,16
"154","REEVES",0,0,8,8,8,37,37,37,37,32,3,0
"155","ROBERTSON",0,9,11,11,11,11,11,11,11,11,11,11
"156","RUNNELS",88,91,61,97,58,78,78,116,124,133,133,133
"157","SAN AUGUSTINE",3,3,6,6,6,6,6,6,6,6,6,0
"158","SAN PATRICIO",4,4,4,4,4,4,4,5,5,2,2,2
"159","SAN SABA",2,7,7,9,9,9,9,9,4,4,4,4
"160","SCHLEICHER",5,5,5,5,5,5,5,5,5,5,5,5
"161","SCURRY",1,1,11,10,10,10,10,10,10,10,10,12
"162","SHERMAN",46,75,63,77,77,77,77,79,79,79,56,36
"163","SMITH",32,32,77,77,78,78,78,78,78,33,7,5
"164","STARR",2,2,2,0,0,2,2,2,2,2,2,2
"165","STEPHENS",0,2,2,2,2,2,2,2,2,2,2,2
"166","STERLING",4,4,4,4,4,4,4,0,0,4,4,4
"167","TAYLOR",15,15,15,15,15,15,15,6,27,27,21,6
"168","TERRELL",2,2,2,2,2,2,2,2,2,2,2,2
"169","TERRY",3,5,3,5,7,6,86,86,87,87,7,3
"170","TOM GREEN",11,11,16,7,14,18,18,18,18,18,19,19
"171","TRAVIS",33,56,56,56,56,53,53,56,56,56,56,3
"172","TRINITY",40,40,40,40,40,40,40,40,40,40,0,0
"173","TYLER",2,7,7,7,7,7,7,7,7,7,7,0
"174","UPTON",1,1,0,0,0,0,0,0,0,0,0,0
"175","UVALDE",101,129,267,298,298,298,290,57,63,78,75,47
"176","VAL VERDE",5,5,5,5,5,5,5,5,5,2,3,3
"177","VAN ZANDT",50,50,58,16,16,62,54,54,68,68,68,68
"178","VICTORIA",6,28,28,24,22,26,32,32,32,32,32,22
"179","WALLER",100,103,113,113,113,113,113,113,119,119,119,6
"180","WARD",72,72,72,72,72,72,72,2,82,80,82,82
"181","WEBB",9,20,20,32,32,25,29,30,30,32,36,13
"182","WHARTON",28,40,40,40,40,40,28,28,56,56,56,40
"183","WICHITA",0,11,11,26,30,15,15,15,15,21,21,10
"184","WILBARGER",4,0,4,32,32,32,32,32,32,32,32,29
"185","WILLIAMSON",32,32,32,47,37,37,15,15,37,37,47,47
"186","WILSON",6,6,7,7,9,9,9,9,9,9,9,8
"187","WOOD",0,0,9,9,9,9,9,9,9,9,9,8
"188","YOAKUM",0,9,9,9,9,12,12,12,9,12,12,12
"189","YOUNG",0,17,17,17,17,17,17,17,17,17,17,0
"190","ZAVALA",34,36,38,38,38,31,37,42,28,65,59,65
